 Q(Angstrom -1),S(Q)
0.455850291,1.723959566
0.570909468,1.679551666
0.696428571,1.661909454
0.821947674,1.658268501
0.947466777,1.667753729
1.07298588,1.68949006
1.198504983,1.712976547
1.324024086,1.755714767
1.449543189,1.81595456
1.575062292,1.856942622
1.700581395,1.890054975
1.826100498,1.917041778
1.951619601,1.899399566
2.077138704,1.881757354
2.179645972,1.929946845
2.213117733,2.002365859
2.254957434,2.079763446
2.296797135,2.197852193
2.275877284,2.128306875
2.321900955,2.349825238
2.317716985,2.273523062
2.338636836,2.453765838
2.359556686,2.573190643
2.338636836,2.506270561
2.380476537,2.733306608
2.370016611,2.653248625
2.405580357,2.881079275
2.390936462,2.810739354
2.411856312,2.968230083
2.447420058,3.335723295
2.443236088,3.251720427
2.443236088,3.197465546
2.432776163,3.141472228
2.468339909,3.499514591
2.453696013,3.430224764
2.489259759,3.733662215
2.474615864,3.650721161
2.474615864,3.587715493
2.50599564,4.018219061
2.50599564,3.955213393
2.495535714,3.892219446
2.495535714,3.829213779
2.532145453,4.343719043
2.52691549,4.266717976
2.516455565,4.207224343
2.52691549,4.138956484
2.516455565,4.081213008
2.552019311,4.526413211
2.547835341,4.450461066
2.52691549,4.396229626
2.572939161,4.75951074
2.558295266,4.684970442
2.558295266,4.621964774
2.593859012,4.998908837
2.579215116,4.915967782
2.579215116,4.852962115
2.614778862,5.162700132
2.600134967,5.0944604
2.631514743,5.274253917
2.676342994,5.425904835
2.673354444,5.349901346
2.702642234,5.49338144
2.757033846,5.425064357
2.767493771,5.356796498
2.764007129,5.27804332
2.791900263,5.211506085
2.798873547,5.127490715
2.777953696,5.104762108
2.809333472,5.046971754
2.819793397,4.980454052
2.814563434,4.909140997
2.830253322,4.85268084
2.835483285,4.77129266
2.851173173,4.705644176
2.851173173,4.642638509
2.861633098,4.584871594
2.861633098,4.523616084
2.878368978,4.422088202
2.893012874,4.34331471
2.893012874,4.280309042
2.903472799,4.21379134
2.908702762,4.103088023
2.903472799,4.154285988
2.913932724,4.023012461
2.919162687,3.946612229
2.934852575,3.886476742
2.9453125,3.807707938
2.9453125,3.74470227
2.961002388,3.65673928
2.981922238,3.559582103
2.994125484,3.482123964
3.024807932,3.388631179
3.049911752,3.294794614
3.070831603,3.224764877
3.112671304,3.135459969
3.14405108,3.056667725
3.238190407,2.878046189
3.288398048,2.801333039
3.335816376,2.743174683
3.426469061,2.674116908
3.541528239,2.609932229
3.667047342,2.553786553
3.792566445,2.523893239
3.918085548,2.51850213
4.043604651,2.548989247
4.169123754,2.583851758
4.273723007,2.647177766
4.357402409,2.721903238
4.441081811,2.783502529
4.514301287,2.848613854
4.577060839,2.906298731
4.704671927,3.015540588
4.752787583,3.12102117
4.796719269,3.190015657
4.833329007,3.252980305
4.890858596,3.321171986
4.984997924,3.400261132
5.110517027,3.407996202
5.23603613,3.395604463
5.330175457,3.351745049
5.392935008,3.29041922
5.45569456,3.222092762
5.518454111,3.152016146
5.581213663,3.087190002
5.647459856,3.009233771
5.753802429,2.961860369
5.800872093,2.890926254
5.89501142,2.827815109
6.010070598,2.776056547
6.135589701,2.74791339
6.261108804,2.746897674
6.386627907,2.756382902
6.51214701,2.794745728
6.616746262,2.849320949
6.71088559,2.913008709
6.836404693,2.997925723
6.93054402,3.066863955
7.035143272,3.136315515
7.160662375,3.179928813
7.286181478,3.195539592
7.411700581,3.188398324
7.537219684,3.156754853
7.652278862,3.102021024
7.756878115,3.041628404
7.836373547,2.998905498
7.955616694,2.973307102
8.081135797,2.944813914
8.2066549,2.880354991
8.332174003,2.858337385
8.457693106,2.854696433
8.583212209,2.85805611
8.708731312,2.873666889
8.834250415,2.905904164
8.955286693,2.953772867
9.085288621,2.994880917
9.218279099,3.014733708
9.46184593,3.077591482
9.587365033,3.08095116
9.712884136,3.078185286
9.838403239,3.067543704
9.963922342,3.058652279
10.07898152,3.012800498
10.21496055,3.000324115
10.34047965,2.982973596
10.47645868,2.950333942
10.59151786,2.938063307
10.71703696,2.91692078
10.84255606,2.916780142
10.96807517,2.937641394
11.08313434,2.945388184
11.21911337,2.960549704
11.34463248,2.970180779
11.47015158,2.982582936
11.59567068,2.998485408
11.72118978,3.007970637
11.85716881,3.01190198
11.96176806,3.011784782
12.09774709,3.015132739
12.2232662,3.010179169
12.3487853,3.000704358
12.4743044,2.995459094
12.5998235,2.982192276
12.72534261,2.970675615
12.85086171,2.964117734
12.97638081,2.958726624
13.10189992,2.958877679
13.22741902,2.958737041
13.35293812,2.962971797
13.47845723,2.967206553
13.60397633,2.974066545
13.72949543,2.985301931
13.85501453,2.987786529
13.98053364,2.992021285
14.10605274,2.996256041
14.23157184,3.000199104
14.35709095,3.002100317
14.48261005,2.994083971
14.60812915,2.991318097
14.73364826,2.985051908
14.84870743,2.979497502
